Owner,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Isaac,BN,"Player NoteClaude Giroux Phi - C,LW",,,Was,16:00,64,90,57%,17,44,-7,25,225,69,30
Isaac,BN,Player NoteWayne Simmonds Phi - RW,,,Was,16:00,41,55,76%,31,27,-9,22,231,171,50
Isaac,IR+,"Player NoteDustin Byfuglien Wpg - D
Day-to-Day",,,Car,16:00,23,22,76%,15,35,6,15,239,177,110
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
CSM,C,No new player NotesJeff Carter LA - C,,,Buf,19:30,62,26,56%,27,37,11,18,244,87,37
CSM,C,Player NoteNazem Kadri Tor - C,,,@Mon,16:00,112,130,47%,21,26,-4,15,211,124,38
CSM,LW,Player NoteNikolaj Ehlers Wpg - LW,,,Car,16:00,81,101,80%,26,37,2,16,221,43,26
CSM,LW,Player NoteJonathan Huberdeau Fla - LW,,,@Pit,16:00,77,102,71%,22,34,9,15,181,56,30
CSM,RW,"Player NoteMikael Granlund Min - C,RW
Out",,,Cls,17:00,72,62,33%,22,40,13,17,169,43,45
CSM,RW,"Player NoteTyler Seguin Dal - C,RW",,,Col,17:00,24,17,88%,35,45,2,28,269,60,25
CSM,D,Player NoteJohn Klingberg Dal - D,,,Col,17:00,119,91,88%,12,39,11,18,137,43,89
CSM,D,No new player NotesMorgan Rielly Tor - D,,,@Mon,16:00,203,298,48%,8,26,-10,5,159,55,122
CSM,D,No new player NotesMarc-Edouard Vlasic SJ - D,,,NYI,19:30,184,160,43%,7,24,13,5,139,49,139
CSM,D,Player NoteVictor Hedman TB - D,,,StL,16:00,18,29,95%,13,41,11,20,188,71,132
CSM,BN,Player NotePhil Kessel Pit - RW,,,Fla,16:00,27,63,87%,25,38,4,26,233,11,14
CSM,BN,"New Player NoteNino Niederreiter Min - LW,RW
Injured Reserve",,,Cls,17:00,132,114,22%,23,27,8,11,182,112,22
CSM,IR+,"Player NoteErik Karlsson Ott - D
Out",,,@Edm,19:00,17,11,57%,15,49,6,30,213,55,167
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Trim,C,Player NoteEvgeny Kuznetsov Was - C,,,@Phi,16:00,47,74,87%,21,41,13,15,177,55,21
Trim,C,No new player NotesEvgeni Malkin Pit - C,,,Fla,16:00,10,97,88%,26,37,3,23,188,25,21
Trim,LW,Player NoteOndrej Palat TB - LW,,,StL,16:00,133,116,42%,17,30,9,11,153,122,45
Trim,LW,Player NoteMarcus Johansson NJ - LW,,,@NYR,16:00,134,127,41%,21,31,13,17,136,36,22
Trim,RW,"New Player NoteLeon Draisaitl Edm - C,RW
Day-to-Day",,,Ott,19:00,16,40,55%,33,44,4,24,191,40,31
