name,rating,time,age,complexity,abstract,childrens,customizable,family,party,strategy,thematic,wargames
Wir sind das Volk!,7.8,60.0,12.0,3.68,0,0,0,0,0,1,0,0
World Without End,7.3,90.0,12.0,2.81,0,0,0,0,0,1,0,0
Carcassonne: The Castle,7.1,30.0,8.0,1.99,0,0,0,1,0,0,0,0
Star Trek: Fleet Captains,7.5,90.0,14.0,3.05,0,0,0,0,0,1,0,0
Summoner Wars: Alliances Master Set,8.1,45.0,9.0,2.72,0,0,1,0,0,0,0,0
Ascension: Deckbuilding Game,7.0,30.0,13.0,2.15,0,0,0,0,0,1,0,0
Feudum,7.7,80.0,12.0,4.58,0,0,0,0,0,1,0,0
My Little Scythe,7.4,45.0,8.0,2.00,0,0,0,1,0,0,0,0
Churchill,7.7,60.0,14.0,3.26,0,0,0,0,0,1,0,0
Reef,7.1,30.0,8.0,1.84,1,0,0,0,0,0,0,0
1989: Dawn of Freedom,7.8,150.0,12.0,3.30,0,0,0,0,0,1,0,0
Saint Petersburg (Second Edition),7.5,60.0,13.0,2.68,0,0,0,0,0,1,0,0
Prêt-à-Porter,7.4,90.0,10.0,3.61,0,0,0,0,0,1,0,0
Diplomacy,7.0,360.0,12.0,3.36,0,0,0,0,0,1,0,0
Ex Libris,7.2,45.0,10.0,2.56,0,0,0,1,0,0,0,0
Caverna: Cave vs Cave,7.2,20.0,10.0,2.59,0,0,0,0,0,1,0,0
Space Hulk: Death Angel – The Card Game,7.0,30.0,13.0,2.42,0,0,0,0,0,0,1,0
Among the Stars,7.1,30.0,12.0,2.23,0,0,0,0,0,1,0,0
Cribbage,7.1,30.0,10.0,1.90,1,0,0,0,0,0,0,0
Warhammer: Invasion,7.2,45.0,13.0,2.73,0,0,1,0,0,0,0,0
Zombie Kidz Evolution,7.9,5.0,7.0,1.41,0,1,0,0,0,0,0,0
King of New York,7.0,40.0,10.0,1.87,0,0,0,1,0,0,0,0
Super Motherload,7.4,60.0,13.0,2.30,0,0,0,0,0,1,0,0
Deep Sea Adventure,7.0,30.0,8.0,1.18,0,0,0,1,0,0,0,0
Villagers,7.3,30.0,10.0,2.21,0,0,0,1,0,0,0,0
Vast: The Crystal Caverns,7.2,75.0,10.0,3.59,0,0,0,0,0,1,0,0
Kanagawa,7.1,45.0,10.0,2.03,0,0,0,1,0,0,0,0
Wits & Wagers,6.9,25.0,10.0,1.21,0,0,0,0,1,0,0,0
Panamax,7.3,100.0,12.0,3.75,0,0,0,0,0,1,0,0
City of the Big Shoulders,7.9,120.0,14.0,4.05,0,0,0,0,0,1,0,0
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.5,120.0,10.0,3.00,0,0,0,0,0,0,0,1
Draftosaurus,7.2,15.0,8.0,1.23,0,0,0,1,0,0,0,0
Vasco da Gama,7.2,60.0,12.0,3.23,0,0,0,0,0,1,0,0
The Mind,6.9,15.0,8.0,1.08,0,0,0,1,0,0,0,0
Oh My Goods!,7.0,30.0,10.0,2.31,0,0,0,0,0,1,0,0
Exit: The Game – The Secret Lab,7.1,45.0,12.0,2.59,0,0,0,1,0,0,0,0
Cooper Island,7.7,60.0,12.0,4.17,0,0,0,0,0,1,0,0
Dungeons & Dragons: The Legend of Drizzt Board Game,7.3,60.0,12.0,2.59,0,0,0,0,0,0,1,0
Century: A New World,7.5,30.0,8.0,2.13,0,0,0,1,0,0,0,0
Disney Villainous,7.1,50.0,10.0,2.40,0,0,0,1,0,0,0,0
Tribune: Primus Inter Pares,7.2,60.0,12.0,2.87,0,0,0,0,0,1,0,0
Napoleon's Triumph,8.0,180.0,12.0,3.65,0,0,0,0,0,0,0,1
Blue Moon City,7.0,30.0,14.0,2.30,0,0,0,1,0,0,0,0
13 Days: The Cuban Missile Crisis,7.3,30.0,10.0,2.35,0,0,0,0,0,1,0,0
Unlock!: Heroic Adventures,7.8,60.0,10.0,2.23,0,0,0,0,0,0,1,0
XCOM: The Board Game,7.1,60.0,14.0,2.90,0,0,0,0,0,0,1,0
Civilization: A New Dawn,7.3,60.0,14.0,3.07,0,0,0,0,0,1,0,0
Marvel Dice Masters: Avengers vs. X-Men,7.2,60.0,14.0,2.30,0,0,1,0,0,0,0,0
Yedo,7.4,120.0,14.0,3.35,0,0,0,0,0,1,0,0
Finca,7.1,45.0,10.0,2.08,0,0,0,1,0,0,0,0
FUSE,7.1,10.0,10.0,1.66,0,0,0,1,0,0,0,0
In the Hall of the Mountain King,7.9,75.0,12.0,2.75,0,0,0,0,0,1,0,0
One Deck Dungeon,7.1,30.0,14.0,2.05,0,0,0,0,0,0,1,0
Blokus,6.9,20.0,7.0,1.77,1,0,0,0,0,0,0,0
Jambo,7.0,45.0,12.0,2.07,0,0,0,0,0,1,0,0
Squad Leader,7.5,60.0,14.0,4.04,0,0,0,0,0,0,0,1
Spyfall,6.9,15.0,13.0,1.24,0,0,0,0,1,0,0,0
Tajemnicze Domostwo,7.2,30.0,8.0,1.86,0,0,0,0,1,0,0,0
Treasure Island,7.3,45.0,10.0,2.27,0,0,0,1,0,0,0,0
Warhammer Underworlds: Shadespire,7.8,30.0,12.0,2.46,0,0,1,0,0,0,0,0
Whitehall Mystery,7.6,45.0,13.0,2.16,0,0,0,0,0,1,0,0
Lords of Xidit,7.1,90.0,14.0,2.62,0,0,0,0,0,1,0,0
A Fake Artist Goes to New York,7.2,20.0,8.0,1.16,0,0,0,0,1,0,0,0
AuZtralia,7.4,30.0,13.0,2.93,0,0,0,0,0,1,0,0
The Pursuit of Happiness,7.2,60.0,12.0,2.48,0,0,0,1,0,0,0,0
Reef Encounter,7.1,60.0,10.0,3.68,0,0,0,0,0,1,0,0
ZÈRTZ,7.3,30.0,9.0,2.74,1,0,0,0,0,0,0,0
Combat Commander: Pacific,8.1,180.0,12.0,3.23,0,0,0,0,0,0,0,1
The Estates,7.5,40.0,10.0,2.34,0,0,0,0,0,1,0,0
Tinners' Trail,7.3,60.0,13.0,2.83,0,0,0,0,0,1,0,0
Scoville,7.2,60.0,13.0,2.78,0,0,0,0,0,1,0,0
Black Angel,7.4,60.0,12.0,3.82,0,0,0,0,0,1,0,0
Red7,6.9,5.0,9.0,1.70,0,0,0,1,0,0,0,0
Star Wars: The Card Game,7.2,30.0,10.0,2.96,0,0,1,0,0,0,0,0
Friedrich,7.6,210.0,12.0,3.15,0,0,0,0,0,0,0,1
Spyrium,7.1,75.0,12.0,2.90,0,0,0,0,0,1,0,0
Outlive,7.4,40.0,14.0,3.01,0,0,0,0,0,1,0,0
Nidavellir,7.9,30.0,10.0,2.19,0,0,0,1,0,0,0,0
Summoner Wars: Phoenix Elves vs Tundra Orcs,7.5,30.0,9.0,2.32,0,0,1,0,0,0,0,0
Nova Luna,7.5,30.0,8.0,1.90,1,0,0,0,0,0,0,0
Union Pacific,7.2,90.0,12.0,2.55,0,0,0,0,0,1,0,0
Brew Crafters,7.4,90.0,12.0,3.58,0,0,0,0,0,1,0,0
Virgin Queen,8.0,420.0,12.0,4.40,0,0,0,0,0,1,0,0
Hyperborea,7.2,50.0,14.0,3.18,0,0,0,0,0,1,0,0
Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),8.0,60.0,13.0,3.26,0,0,0,0,0,0,0,1
Legendary: A Marvel Deck Building Game – Villains,7.6,45.0,14.0,2.71,0,0,1,0,0,0,0,0
Dogs of War,7.5,75.0,14.0,2.66,0,0,0,0,0,1,0,0
Under Falling Skies,8.0,20.0,12.0,2.48,0,0,0,0,0,1,0,0
Carcassonne: The City,7.2,30.0,8.0,2.26,0,0,0,1,0,0,0,0
Not Alone,7.0,30.0,10.0,1.96,0,0,0,0,0,1,0,0
Ricochet Robots,7.0,30.0,10.0,2.41,1,0,0,0,0,0,0,0
Perudo,6.9,15.0,8.0,1.26,0,0,0,1,0,0,0,0
878 Vikings: Invasions of England,7.6,60.0,12.0,2.64,0,0,0,0,0,0,0,1
Fugitive,7.2,5.0,10.0,1.67,0,0,0,1,0,0,0,0
New Frontiers,7.6,45.0,14.0,2.86,0,0,0,0,0,1,0,0
Summoner Wars: Guild Dwarves vs Cave Goblins,7.6,30.0,9.0,2.24,0,0,1,0,0,0,0,0
Ca$h 'n Guns (Second Edition),6.9,30.0,10.0,1.27,0,0,0,0,1,0,0,0
Thunderstone,6.9,60.0,12.0,2.50,0,0,0,0,0,1,0,0
Hallertau,8.3,50.0,12.0,3.28,0,0,0,0,0,1,0,0
San Marco,7.2,90.0,10.0,2.68,0,0,0,0,0,1,0,0
Celestia,7.0,30.0,8.0,1.33,0,0,0,1,0,0,0,0
Santiago,7.1,75.0,10.0,2.49,0,0,0,0,0,1,0,0
Genoa,7.1,60.0,12.0,3.08,0,0,0,0,0,1,0,0
The Palaces of Carrara,7.2,60.0,10.0,2.62,0,0,0,0,0,1,0,0
CO₂: Second Chance,7.7,60.0,12.0,4.06,0,0,0,0,0,1,0,0
Smash Up: Science Fiction Double Feature,7.3,30.0,12.0,2.30,0,0,0,0,0,1,0,0
Homesteaders,7.2,60.0,14.0,3.04,0,0,0,0,0,1,0,0
Maharaja: The Game of Palace Building in India,7.1,90.0,12.0,3.17,0,0,0,0,0,1,0,0
Bridge,7.5,60.0,12.0,3.86,1,0,0,0,0,0,0,0
Fort,7.4,20.0,10.0,2.42,0,0,0,0,0,1,0,0
Rhino Hero: Super Battle,7.3,10.0,5.0,1.12,0,1,0,0,0,0,0,0
Morels,7.0,30.0,10.0,1.74,0,0,0,1,0,0,0,0
Last Night on Earth: The Zombie Game,6.9,60.0,12.0,2.29,0,0,0,0,0,0,1,0
"Heroes of Land, Air & Sea",7.7,120.0,14.0,3.27,0,0,0,0,0,1,0,0
Container,7.1,60.0,12.0,3.25,0,0,0,0,0,1,0,0
Age of Industry,7.4,120.0,13.0,3.36,0,0,0,0,0,1,0,0
Akrotiri,7.2,45.0,13.0,2.66,0,0,0,0,0,1,0,0
Tragedy Looper,7.2,120.0,13.0,3.51,0,0,0,0,0,1,0,0
The Search for Planet X,8.2,60.0,13.0,2.40,0,0,0,0,0,1,0,0
Signorie,7.4,90.0,12.0,3.55,0,0,0,0,0,1,0,0
Ascension: Storm of Souls,7.3,30.0,13.0,2.34,0,0,0,0,0,1,0,0
Roll Through the Ages: The Bronze Age,6.9,30.0,8.0,1.78,0,0,0,1,0,0,0,0
Shards of Infinity,7.5,30.0,10.0,2.02,0,0,0,0,0,1,0,0
Louis XIV,7.1,75.0,12.0,3.01,0,0,0,0,0,1,0,0
Diamant,6.8,30.0,8.0,1.11,0,0,0,1,0,0,0,0
Heroscape Master Set: Swarm of the Marro,7.6,60.0,8.0,2.25,0,0,1,0,0,0,0,0
Thunder Alley,7.3,90.0,10.0,2.39,0,0,0,0,0,0,1,0
Forbidden Island,6.8,30.0,10.0,1.74,0,0,0,1,0,0,0,0
The Castles of Burgundy: The Card Game,7.0,30.0,12.0,2.54,0,0,0,0,0,1,0,0
Core Worlds,7.2,60.0,10.0,2.89,0,0,0,0,0,1,0,0
Tumblin-Dice,7.2,45.0,13.0,1.05,0,0,0,1,0,0,0,0
Hawaii,7.2,90.0,13.0,2.90,0,0,0,0,0,1,0,0
Gentes,7.5,90.0,12.0,3.17,0,0,0,0,0,1,0,0
Catacombs (Third Edition),7.6,60.0,14.0,2.24,0,0,0,0,0,0,1,0
